,current_price,avg_2Y_change,expected_current_2Y_price,avg_1Y_change,expected_current_1Y_price,avg_6M_change,expected_current_6M_price,avg_3M_change,expected_current_3M_price
Apple,148.85,%129.12,142.49,%46.88,163.33,%20.34,158.2,%9.67,159.96
Intel,47.89,%14.31,64.62,%5.3,46.6,%3.43,59.5,%1.98,54.78
Booking,"2,428.09",%5.18,2154.9,%7.07,1718.53,%4.12,2567.68,%2.58,2234.46
Google,"2,924.35",%61.24,2029.69,%29.02,1949.23,%14.36,2691.46,%7.09,2885.57
Microsoft,323.17,%96.62,281.89,%38.13,279.96,%17.93,297.4,%8.82,310.04
Shopify,"1,361.12",%424.95,1646.09,%120.69,2265.85,%47.69,1746.45,%21.78,1826.61
Tesla,"1,037.86",%719.56,516.16,%218.67,1293.86,%62.3,1151.42,%24.53,855.77
Dell,108.39,%38.38,73.19,%31.56,79.86,%15.65,113.72,%7.03,103.41
AMD,122.28,%267.25,124.61,%88.47,143.99,%40.25,114.47,%19.16,126.54
Netflix,662.92,%52.83,439.25,%24.6,605.86,%15.23,591.67,%8.85,563.37
Nvidia,244.51,%170.6,136.0,%59.31,201.16,%25.51,188.39,%12.26,218.9
Paypal,234.94,%113.78,222.54,%51.07,290.52,%21.69,319.18,%9.92,302.86
Salesforce,295.15,%53.88,240.81,%25.18,298.47,%13.55,261.53,%7.14,259.2
